cluster,initial_size,chosen_size,avg_coint_score,volatility,combined_score
1,28,9,0.8631175306585165,0.014210509368283613,0.012265339755352668
14,53,9,0.8539727551535059,0.01464762514078084,0.012508672797928373
9,33,8,0.8635557757387021,0.011325538953928762,0.009780234577018841
18,30,8,0.8599531749189656,0.013597112882493647,0.01169288039303198
2,23,5,0.8917779534950927,0.02507031194942363,0.022357151483740574
11,51,8,0.8729157838183527,0.01610773469086378,0.014060695853213429
19,13,7,0.868670783092299,0.02061239582980826,0.017905386026887977
17,12,4,0.9204864997264443,0.021462167830614037,0.01975563574294341
12,36,8,0.8559162171081764,0.015586115128270012,0.013340408700001388
0,14,5,0.9021348624652777,0.02508956644043465,0.022634172570054963
10,41,5,0.9012345277923917,0.018646624261952655,0.016804981611643056
3,22,5,0.8867559496685434,0.014930390496421789,0.013239612603576699
6,20,6,0.8833086465270713,0.0236222059801427,0.020865698792303537
16,26,6,0.9150730796069994,0.013260262068269404,0.012134108847207163
13,6,3,0.9286562721291944,0.037803429890198255,0.03510639227552887
7,14,3,0.9740526204634986,0.021000449789897194,0.02045554314876149
8,18,2,0.959234517065458,0.024841421827361394,0.024196852026980516
5,11,3,0.9497728823187356,0.03684868538119259,0.034997882124151544
4,12,2,0.9282746246597001,0.024096684389892587,0.022886377387313164
15,3,2,0.9505674918375008,0.03416100950107483,0.031710798272606686
